Authors,Title,Conference,Date
"Gardner, S. and le Roux, N.J.",Application of biplotology in the two-class discriminant analysis case.,"SASA: Annual South African Statistical Association Conference, 5–7 November 2003, Johannesburg.",2003-11-05
"Le Roux, N.J. and Gardner, S.",Biplotology for comparing archaeological artefacts from different sites.,"SASA: Annual South African Statistical Association Conference, 5–7 November 2003, Johannesburg.",2003-11-05
"Gardner, S. and le Roux, N.J.",Graphics and visualisation in practice:  Biplots for exploring multidimensional reality. ,"WSC: The 54th Session of the International Statistical Institute, 13–20 August 2003, Berlin, Germany.",2003-08-13
"Gardner, S. and le Roux, N.J.",Biplot methodology for categorical data.,"CARME: International Conference on Correspondence Analysis and Related Methods, 30 June –  2 July 2003, Barcelona, Spain.",2003-06-30
"Gardner, S. and le Roux, N.J.",Applying robust techniques in biplot methodology.,"SASA: Annual South African Statistical Association Conference, 6–8 November 2002, Pretoria.",2002-11-06
"Le Roux, N.J. and Gardner, S.",Discriminant analysis with binary variables:  Biplots and the ‘reversal problem’.,"SASA: Annual South African Statistical Association Conference, 6–8 November 2002, Pretoria.",2002-11-06
"Gardner, S. and le Roux, N.J.",Biplot methodology in discriminant analysis with categorical variables.,"The 26th  Annual Conference of the Gesellschaft für Klassifikation, 22–24 July 2002, Mannheim, Germany.",2002-07-22
"Gardner, S. and le Roux, N.J.",Biplot methodology for discriminant analysis based upon robust methods and principal curves. ,"IFCS: The 8th  Conference of the International Federation of Classification Societies, 16–19 July 2002, Kraków, Poland.",2002-07-16
"Erasmus, P.D., Lambrechts, I.J., le Roux, N.J. and Gardner, S.",Measuring the capital intensity of enterprises listed in the industrial sector of the Johannesburg Stock Exchange:  The use of value-added measures. ,"Tenth annual SAFA conference, 2001, University of Cape Town Graduate School of Business.",2001-12-31
"Erasmus, P.D., Lambrechts, I.J., le Roux, N.J. and Gardner, S.",The use of principal component analyses and biplots to interpret multivariate data:  Evaluating traditional and value added measures of capital intensity. ,"The 29th meeting of EURO Working Group on Financial Modelling, 2001, Haarlem, The Netherlands.",2001-12-31
"Gardner, S. and le Roux, N.J.","Representing large multi-dimensional data sets:  Biplots, bagplots and a-bags.","SASA: Annual South African Statistical Association Conference, 14–16 November 2001, Goudini.",2001-11-14
"Le Roux, N.J. and Gardner, S.",Principal components and biplots in allometry:  Determining subspecies in Homopus Areolatus. ,"SASA: Annual South African Statistical Association Conference, 14–16 November 2001, Goudini.",2001-11-14
"Erasmus, P.D., Lambrechts, I.J., le Roux, N.J. and Gardner, S.",Determining a method to measure capital intensity for enterprises listed in the Industrial sector of the Johannesburg Stock Exchange for the period 1989 to 1996. ,"FMA-kroniek 2000. Faculteit der Economische Wetenschappen, Erasmus Universiteit, Rotterdam, The Netherlands.",2000-12-31
"Gardner, S. and le Roux, N.J.",Discriminant Analysis Using Principal Curves in Biplots.,"SASA: Annual South African Statistical Association Conference, 8–10 November 2000, Johannesburg.",2000-11-08
"Le Roux, N.J. and Gardner, S.",Biplot methodology everywhere:  From quality control to stinkwood. ,"SASA: Annual South African Statistical Association Conference, 8–10 November 2000, Johannesburg.",2000-11-08
"Gardner, S. and le Roux, N.J.",Applying Bootstrapping Techniques to PCA and CVA Biplots.,"SASA: Annual South African Statistical Association Conference, 3–5 November 1999, Durban.",1999-11-03
"Van Blerk, S.P., le Roux, N.J. and Gardner, S.",S-Plus Functions for Interactive Linear and Non-linear Biplots.,"SASA: Annual South African Statistical Association Conference, 3–5 November 1999, Durban.",1999-11-03
"Le Roux, N.J. and Gardner, S.",An Application of the EM Algorithm to a Left-Censored Statistical Problem in Industry.,"SASA: Annual South African Statistical Association Conference, 4–6 November 1998, Midrand.",1998-11-04
"Gardner, S., Baard, E.H.W. and le Roux, N.J.",How many are there?,"Fifth Herpetological Association of Africa Symposium, University of Stellenbosch, 16 September 1998.",1998-09-16
"Le Roux, N.J. and Gardner, S.",Estimating the detection probability of geometric tortoises using designed experiments under field conditions.,"SASA: Annual South African Statistical Association Conference, 5–7 November 1997, Dikhololo.",1997-11-05
